project_url,comment,created_at,comment_id
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,"I am sorry for your personal problems however it is your responsible to keep your backers informed. an email once in a while would work.
I would like to have your address, phone number and email address.
by your actions and keeping your backers in the dark for a year and half I had no other choice but to feel that us backers had been scammed. I personally feel its been long enough already.
so if this going to take another year? keep your backers in the loop. Taking our money and never hearing from you is a very asshole thing to do. welcome to the grown world.",1451947668,UHJvamVjdENvbW1lbnQtMTIxNzA1MDE=
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,"Ron, as I told you before, this book publishing is proving harder than I previously expected.  This past year and a half has been very hard on me.  I relocated to take care of my grandfather who was battling cancer and passed away.  I have been very depressed and struggling for awhile now.  I cared for my Nana for the last three years of her life and loved her very much.  I'm embarrassed and sad that the book is not published yet.  This is my first book and I'm unsure of the whole process.  How many books have you published?  I never intended to ""scam"" people out of money.  You calling me a ""crook"" is a very asshole thing to do.  I'm sorry you feel that way.",1451760497,UHJvamVjdENvbW1lbnQtMTIxNjA2NjM=
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,"Ron, I really don't appreciate you calling me a sham and a crook.  This past year has been really hard on me.  I relocated to care for my grandfather who battled cancer and died.  I have been struggling with that and several other issues.  I explained all of this before.  I'm getting the book published soon.  It has proven more difficult than previously expected.  My intentions were never to ""scam"" people.  I cared for my Nana for the last 3 years of her life and loved her very much.  I feel embarrassed and sad that the book is not done yet.  You calling me  ""crook"" and threatening to track me down is an asshole thing to do.   I asked you for patience in my last email to you.  This is my first book so I don't know the exact process.",1451759861,UHJvamVjdENvbW1lbnQtMTIxNjA2MzI=
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,"If anyone can help me find Dorian please contact me at.
Rowemont@gmail.com",1451712581,UHJvamVjdENvbW1lbnQtMTIxNTkwNjA=
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,"Dorian, I am going to track you down and expose you as the crook you are.
This book was just a sham. It was just a way for you to screw your family and friends out of over
$10,000. I will sue you when I find you.",1451712381,UHJvamVjdENvbW1lbnQtMTIxNTkwNDc=
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,"I agree with Mark, anything would be better than silence...",1447714669,UHJvamVjdENvbW1lbnQtMTE3NTQ3NzE=
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,"Dorian, I was just thinking about this campaign the other day. While, I only gave a small amount because it seemed like a good cause, it's clear from the comments that others with more substantial donations have not received anything yet either. You haven't provided any updates on the page since the project was funded and it's been over a year since the projected delivery date. While the reality is that many projects on Kickstarter don't make it, you owe your backers the truth, especially because you relied on your relationship with your Nana, one which many people in sure we're truly touched by, to drive donations.",1445112525,UHJvamVjdENvbW1lbnQtMTE0Mjk5MTM=
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,I haven't seen this book yet. A little concerned because I was looking forward to reading it to my 3 year old and now he is 5 years old.,1442253304,UHJvamVjdENvbW1lbnQtMTEwODAxMjM=
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,dorian please call me and lets get this matter settled.,1437254094,UHJvamVjdENvbW1lbnQtMTA2MDI5MzI=
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,"today is July 18,2015 
I think this book and dorian macneil was a big scam. not a word from him or any book. matter of fact I am thinking about suing him to get my money back.",1437253825,UHJvamVjdENvbW1lbnQtMTA2MDI4NzU=
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,How is the book coming along?,1412660943,UHJvamVjdENvbW1lbnQtODA1NzAwOA==
https://www.kickstarter.com/projects/2005101905/my-nana-is-a-super-spy-childrens-book-about-aging,Congratulations!,1399513731,UHJvamVjdENvbW1lbnQtNjcxNzUwNA==
https://www.kickstarter.com/projects/1364679504/seas-of-iron-rising-sun-0,Still no product. This really is turning out to be a bad call on my part. I shouldn't have backed this. Think it's time to contact Kickstarter.,1444040760,UHJvamVjdENvbW1lbnQtMTEyOTI4Mjc=
https://www.kickstarter.com/projects/1364679504/seas-of-iron-rising-sun-0,Still not received my copy. Would love to know if mine ever shipped.,1437414778,UHJvamVjdENvbW1lbnQtMTA2MjMxNjA=
https://www.kickstarter.com/projects/1364679504/seas-of-iron-rising-sun-0,This user's account has been deleted.,1433082317,UHJvamVjdENvbW1lbnQtMTAwMTExMTQ=
https://www.kickstarter.com/projects/1364679504/seas-of-iron-rising-sun-0,"The last of the copies are going out this week. Being a one-man-band with a full time job, its a bit of a challenge to get everything done at once.

There are only 88 tokens in the set. Due to layout changes we dropped a sheet of tokens that brought them to 88 instead of 96. So do not fear you are not missing anything. It appears their is a misprint on some of the double sided plane tokens (red/green). Luckily an extra plane token is included for each color and gameplay is not affected, you may just have to exchange tokens in/out instead of flipping them.",1432694125,UHJvamVjdENvbW1lbnQtOTk3NDYzOQ==
https://www.kickstarter.com/projects/1364679504/seas-of-iron-rising-sun-0,"@Christopher W Ganshaw  Thank you for the F=Front; B=Back observation.  I opened this at work and didn't have a lot of time.  Still, both of my expansions only had sheets #1 to #11 with (8) tokens to a sheet, that comes to (88) total instead of (96).  Could be that there is a missing sheet #12, or the number of needed tokens was reduced.",1432684321,UHJvamVjdENvbW1lbnQtOTk3Mzc0Ng==
https://www.kickstarter.com/projects/1364679504/seas-of-iron-rising-sun-0,"After looking a little closer, the back of the Plane tokens reflect the plane having taken damage.  How to read through the rules and play a game or two and combine with SoI.",1432683214,UHJvamVjdENvbW1lbnQtOTk3MzYwOA==
https://www.kickstarter.com/projects/1364679504/seas-of-iron-rising-sun-0,"Arrived today in NYC.  Appears to have shipped on the 16th.  As for the cards, F/B...  F = front, B = back.",1432683033,UHJvamVjdENvbW1lbnQtOTk3MzU4NQ==
https://www.kickstarter.com/projects/1364679504/seas-of-iron-rising-sun-0,"I just checked mine. I got 11F but no 11B. Thanks, Karl, for your post; what tokens come on sheet 11B?",1432673609,UHJvamVjdENvbW1lbnQtOTk3MjM4OA==
